block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
WL1 B2,D2-S1-2,6,C12,30,0.23,16,,3.2,6,2,GP,
LV3 B1,D2-S1-6,6,C12,31,0.76,12,,2.2,6,2,BP,
WL1 B2,D1-S1-2,6,C12,32,0.54,15,,2.5,4,1,OS,
SQ3 B2,D1-S1-3,6,C12,33,0.41,9,,1,4,2,,
WL1 B1,D1-S2-1,6,C12,34,0.56,14,,2.3,5,2,OS,
WL1 B1,D1-S1-10,6,C12,35,0.71,12,,2,5,2,GP,
LV3 B3,D2-S2-3,6,C12,36,0.81,14,,2.5,7,2,YP,
SQ3 B2,D2-S1-5,6,C12,37,0.54,10,,1.5,4,2,WP,
WL1 B2,D2-S2-2,6,C12,38,0.6,20,,2.2,6,2,GP,
DPR B2,D1-S2-5,6,C12,39,0.49,20,,5.1,5,2,GP,
SQ3 B1,D1-S2-10,6,C12,40,0.26,10,,1,4,2,RS,
LV3 B2,D1-S2-6,6,C12,41,0.43,8,,2.7,7,2,BP,
SQ3 B1,D2-S2-4,6,C12,42,0.46,11,,1.5,5,2,BP,
SQ3 B3,D2-S2-1,6,C12,43,0.31,11,,1.4,5,2,BS,
WL1 B2,D2-S1-4,6,C12,44,0.76,15,,2.4,5,2,BP,
LV3 B3,D1-S2-1,6,C12,45,0.38,10,,2,6,2,RS,
WL1 B2,D1-S1-6,6,C12,46,0.36,12,,2.1,4,2,BP,
SQ3 B1,D1-S1-10,6,C12,47,0.37,13,,1.7,5,2,BP,
WL1 B2,D2-S2-5,6,C12,48,0.4,10,,1.9,5,2,GP,
LV3 B3,D1-S1-7,6,C12,50,0.46,11,,2.2,6,2,BP,
SQ3 B2,D1-S2-7,6,C12,51,0.58,16,,2.1,6,2,GP,
DPR B2,D2-S2-10,6,C12,52,0.32,12,,3.4,4,2,GP,
SQ3 B2,D1-S2-1,6,C12,53,0.45,17,,1.3,6,2,BS,
SQ3 B1,D2-S1-4,6,C12,54,0.41,10,,1.5,5,2,WP,
WL1 B1,D1-S2-7,6,C12,55,0.52,15,,2.6,5,2,BP,
SQ3 B1,D2-S2-8,6,C12,56,0.28,9,,0.9,4,2,,
DPR B1,D2-S2-1,6,C12,57,0.52,17,,4.1,7,2,GP,
WL1 B1,D1-S2-4,6,C12,58,0.65,17,,1.9,5,2,BP,
WL1 B2,D2-S2-3,6,C12,59,0.46,15,,2.4,6,2,BS,
SQ3 B3,D2-S1-9,6,C12,60,0.47,18,,3.3,6,2,BP,
DPR B2,D1-S2-9,6,C12,61,0.68,16,,3.4,5,2,GP,
WL1 B1,D1-S1-4,6,C12,62,0.52,19,,2.5,5,2,GP,
LV3 B1,D1-S2-5,6,C12,63,0.53,13,,2.4,7,2,GP,
SQ3 B2,D1-S2-10,6,C12,64,0.5,7,,0.7,5,2,BP,
LV3 B1,D1-S1-6,6,C12,65,0.58,12,,1.2,6,2,BP,
LV3 B1,D2-S1-10,6,C12,66,0.44,10,,2.3,6,2,BS,
LV3 B2,D1-S2-1,6,C12,67,0.67,10,,2.6,6,2,BP,
DPR B1,D1-S1-5,6,C12,68,0.66,17,,4.5,6,2,GP,
DPR B1,D1-S2-8,6,C12,69,0.54,18,,5.6,7,2,GP,
DPR B1,D2-S1-9,6,C12,70,0.5,9,,4,6,0,GP,
LV3 B3,D1-S2-2,6,C12,71,0.42,15,,1.8,8,2,BP,
WL1 B1,D2-S1-5,6,C12,72,0.48,10,,1.7,4,2,YP,
DPR B1,D1-S1-2,6,C12,73,0.5,16,,6.5,6,2,GP,
WL1 B2,D2-S1-1,6,C12,74,0.47,21,,3.2,6,2,GP,
SQ3 B1,D1-S1-8,6,C12,75,0.35,10,,2.5,5,2,OS,
WL1 B2,D2-S2-4,6,C12,76,0.67,19,,2.2,6,2,YP,
WL1 B2,D1-S2-8,6,C12,77,0.65,18,,2.4,6,2,BP,
DPR B1,D1-S2-9,6,C12,78,0.22,15,,3.6,6,2,GP,
SQ3 B2,D2-S2-2,6,C12,79,0.68,17,,1.9,5,2,,
LV3 B2,D2-S1-1,6,C12,80,0.54,12,,2.1,6,2,GP,
SQ3 B2,D1-S2-6,6,C12,81,0.52,9,,1,4,2,YP,
WL1 B2,D2-S2-7,6,C12,82,0.34,16,,2,6,2,YP,
WL1 B2,D2-S2-6,6,C12,83,0.34,18,,1.9,6,2,GP,
WL1 B1,D1-S2-8,6,C12,84,0.36,18,,2.7,8,2,YP,
SQ3 B3,D1-S1-7,6,C12,85,0.42,16,,1.5,7,1,BP,
SQ3 B3,D1-S1-9,6,C12,86,0.52,15,,1.8,5,1,BP,
SQ3 B1,D2-S2-1,6,C12,87,0.21,11,,1.1,5,2,BP,
LV3 B2,D2-S2-10,6,C12,88,0.47,11,,2,7,2,BP,
SQ3 B3,D2-S2-9,6,C12,89,0.24,11,,1.5,6,2,PS,
DPR B1,D2-S1-5,6,C12,90,0.53,17,,4.2,7,2,GP,
DPR B1,D1-S1-3,6,C12,91,0.75,21,,5.2,7,2,GP,
DPR B2,D1-S2-7,6,C12,93,0.39,16,,3.9,6,2,BP,
WL1 B2,D1-S1-8,6,C12,94,0.32,11,,2.6,5,2,BS,
LV3 B1,D1-S2-8,6,C12,95,0.58,11,,1.8,7,0,OP,
WL1 B2,D1-S2-4,6,C12,96,0.82,17,,2,6,2,YP,
SQ3 B1,D2-S2-2,6,C12,97,0.55,12,,1.7,6,2,OS,
WL1 B2,D1-S2-9,6,C12,98,0.92,16,,2.6,7,2,GP,
WL1 B1,D1-S1-1,6,C13,1,0.42,13,,1.5,5,2,YP,
DPR B1,D2-S2-8,6,C13,2,0.68,16,,4.1,6,2,BP,
WL1 B2,D1-S1-4,6,C13,3,0.69,14,,3.3,5,2,GP,
LV3 B1,D1-S1-10,6,C13,4,0.53,9,,1.5,6,2,BP,
DPR B1,D1-S2-4,6,C13,5,0.54,11,,3.1,6,2,GP,
LV3 B3,D1-S1-5,6,C13,6,0.7,8,,1.7,4,1,BP,
LV3 B2,D1-S1-6,6,C13,7,0.4,13,,2.1,6,2,OP,
DPR B2,D2-S1-5,6,C13,8,0.48,17,,5.7,5,2,GP,
