block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
SQ3 B1,D1-S2-4,6,C10,72,0.35,11,,1.5,7,2,OP,
DPR B2,D2-S2-1,6,C10,73,0.11,12,,3.9,4,2,GP,
WL1 B2,D1-S1-9,6,C10,74,0.23,13,,1.7,4,2,OS,
DPR B2,D2-S1-10,6,C10,75,0.46,18,,4,6,2,GP,
LV3 B2,D1-S1-3,6,C10,76,0.61,12,,2.3,7,2,WP,
SQ3 B3,D2-S1-7,6,C10,77,0.63,20,,3.1,9,1,WP,
SQ3 B1,D2-S2-10,6,C10,78,0.21,6,,0.4,4,2,,
SQ3 B3,D1-S1-3,6,C10,79,0.36,14,,2.5,11,2,OP,
SQ3 B3,D1-S1-10,6,C10,80,0.52,12,,1.8,6,1,OP,
SQ3 B2,D2-S1-8,6,C10,81,0.34,15,,1.9,7,2,,
LV3 B2,D2-S1-2,6,C10,82,0.55,15,,2.6,9,2,OP,
LV3 B3,D2-S1-8,6,C10,83,0.69,11,,1.9,7,2,WP,
SQ3 B3,D1-S2-4,6,C10,84,0.76,12,,1.2,7,0,BP,
DPR B2,D2-S2-4,6,C10,85,0.66,13,,4.6,7,0,GP,
DPR B1,D2-S1-7,6,C10,86,0.33,13,,3,6,0,GP,
DPR B2,D2-S2-6,6,C10,87,0.58,15,,6.1,5,2,GP,
WL1 B1,D1-S1-8,6,C10,88,0.5,13,,3.3,5,2,GP,
SQ3 B1,D2-S1-8,6,C10,89,0.39,22,,3.2,6,2,BP,
SQ3 B1,D2-S2-7,6,C10,90,0.45,8,,0.7,4,2,BP,
SQ3 B2,D1-S2-3,6,C10,91,0.43,10,,0.9,6,0,BP,
LV3 B1,D1-S2-6,6,C10,92,0.67,11,,2.1,7,2,BP,
WL1 B2,D1-S2-10,6,C10,93,0.49,16,,1.8,7,2,GP,
LV3 B1,D2-S2-6,6,C10,94,0.39,8,,1.2,4,2,,
SQ3 B3,D2-S1-8,6,C10,95,0.68,13,,1.9,6,1,BP,
SQ3 B1,D1-S2-6,6,C10,96,0.5,14,,1.7,6,1,WP,
SQ3 B2,D1-S2-5,6,C10,97,0.38,14,,1.1,6,1,OS,
